AuthorId,PaperIds
55,360533 2253161 949475 538215 368324 855331 674836 1068666 1598529 580095 400429 2145125 847068 749124 2149929 501918 1006063 283152 507841 415449 2239313 1420910 1200417 1087938 285210 1258087 627473 609556 1113127 599636 337774 1536069 1807352 529078 2160386 998325 605718 341916 1629211 1182092 1389430 869430 2242701 1963658 2139275 1917226 1246558 1958000 649131 68389 567439 391076 1315957 144775 1311582 1705250 191340 1003588 889545 311565 778747 569149 427328 1309499 360278 842748 787670 1503337 2047193 151248 1426341 1404308 389256 375645 1846507 375494 685489 1012283 852486 652442 1561133 1221789 1114808 838147 1213444 787171 68780 494493 413987 40294 2050391 1715897 1358815 2130152 164850 1218501 914441 600343 396571 1253687 1030869 590824 1567825 590988 449667 1691264 160532 222469 1868160 178422 1318932 801400 1645597 1791611 1402396 122970 24074 1038114 847721 1134037 330142 1453295 1291570 1236357 1484358 1017616 1689507 1384633 294906 1516256 2001206 1709669 1421288 600193 1247571 1647084 2088058 655318 816840 671895 468963 1258466 520682 762178 418934 645843 1490929 55193 415677 1892017 1390814 1246911 250051 82669 878853 878611 2069862 1162408 402085 618099 1674347 110515 167677 1647435 424703 169774 836602 462613 1639193 1964990 1692285 1432571 1254356 1131277 1208855 1844943 2140444 1028676 561429 1935912 1796849 2228319 50011 267444 75169 1813933 1334503 1279252 1369596 82789 965304 1417252 269210 1988643 2133149 1996769 1333822 129165 545233 533875 47028 366499 1953648 1348168 1358761 1874507 1501821 782195 1842828 1412697 2078331 1503094 761011 275203 2169279 2071330 292208 916062 530550 400432 2116002 1704151 138408 1170435 440944 2086146 2043565 1618919 1394715 2092511 1309753 857434 778260 742557 2020050 1779715 2239080 1505207 1040990 2089307 1051834 602590 1598603 563378 836932 1923712 1513936 2126038 2161270 1709794 1609130 1334565 157653 1079484 2254072 716659 1292671 209987 1561911 1471568 657724 1728999 2248734 636227 2188967 739353 861633 1562350 768943 981085 374924 1993390 1809054 1157610 393613 2152937 1350211 1106983 1914211 1805568 2219269 2061699 1232116 947880 1296398 348351 2188615 1149308 1051041 441057 1127766 1224720 282173 1475480 2185666 372043 1487068 128962 341809 197854 1234065 844326 2097673 2243047 577846 1998820 1079496 787757 1303769 2101279 809176 1129545 419865 548812 433440 2233795 1514435 1065523 839470 1306853 69178 1634096 153324 362297 251879 75356 1575412 951610 707333 933473 145200 1686687 478547 2135162 102768 666181 367455 607208 1314361 640178 258012 2006004 42966 1265959 1315501 2172944 1704638 766130 596639 1480374 25103 224005 1473948 1495079 441364 801725 1330055 1600372 1521193 1905878 1318181 1842680 518886 1604996 136767 1470552 1748110 1124696 1973900 1374577 248390 733638 1617887 429669 491228 1488589 757830 1619343 1212786 589720 185529 1671418 1441833 1401976 500411 862499 1613009 423069 2148216 179163 20444 1976657 1762246 161497 919007 616823 767668 1355338 1330500 300323 2203516 2160850 1792050 1283236 188583 1235117 1002385 243218 1389913 1347683 2213984 837051 217562 2107137 1845348 1224097 1845523 1321344 1978555 633416 1819740 1409438 1130940 1971149 1058628 836220 569738 2235159 847749 2172928 860343 791391 701621 1627327 1175552 1871885 1961041 1290673 1268918 1173588 178136 913529 313273 1596644 991821 873533 36459 2052277 1740617 1406810 1341262 1147447 1412366 1767867 1000445 2060463 662811 2227977 1111248 108616 745317 1373323 1572902 1267968 327786 1754410 1477509 571156 443903 2067435 1226103 2020967 629576 2223355 156007 2010142 690310 1324071 824805 1044866 2188174 2182966 95899 812510 411010 109868 452096 443598 1120846 1545364 1166498 1039736 487867 810770 1117699 2139295 427091 583593 542459 1336245 697076 222631 1464112 1909176 617344 25304 1988335 2033860 241121 2228219 52775 2100017 1272277 228600 803603 601175 1930652 1507925 1034482 2069581 1696592 1368392 1338645 1537119 433613 566388 2170187 744480 1886009 944768 391835 1231847 1131748 1737538 2144025 1587177 293806 1263351 1457884 295041 1165889 19294 2189241 372994 2054919 849805 520007 446774 317855 264821 1598298 939887 1425243 380270 2014129 1639061 77268 699144 1974662 327692 732607 1717868 1268197 2232203 515706 1669282 1638417 640883 434255 2169998 605597 434161 2238930 1605108 720336 649955 529900 1340284 511272 372836 479932 683325 1230662 783611 1611534 1200622 1032043 885156 1169763 747730 1231449 1183554 898876 823685 753581 493623 401485 2001305 1665586 1637203 1482854 1392908 1299922 1095626 1743955 1081944 1559958 717808 1782482 1204075 2221713 1690254 1883848 2187821 1058984 417586 1275261 322106 15471 1057692 312517 558232 1287246 1481605 166298 869813 918326 686632 341776 1360578 493921 1768979 1294041 794747 733374 651888 1912963 1564558 1376095 1493998 860367 2507 883792 85184 824229 1693618 1659666 369796 1614166 805860 299391 1618867 821861 867779 819589 810900 464497 139335 138526 1281589 397455 2031585 1874629 1822770 1705023 1588620 1088098 1328475 1153819 178497 800859 2025947 2209422 973193
426,733468 1886966 92584 1620205 1506113 212235 885676 1619181 1200538 608753 1309402 581263 1755057 1591324 1525094 2131795 703799 1020664 1397733 1220376 1743931 1513874 1715768 1474160 762357 2114604 643226 37257 1738852 1896437 174625 284639 873 1522781 1425521 841427
1861,59550 1059590 282043 1048827 1818633 922192 528639 124595
10212,1763581 173546 792369 681072 719916 131299 49767 509790 275419 2148031 694244 2017320 1443210 1155164 1723109 199989 1888199 24013 1495359 1907454 551557 1114250 1576383 414184 290814 1753895 824163 1830188 711071 1409670 1274721 736670 1279152 213826 2108310 656535 195044
10275,368138 2029275 876311 300441 389312 2161376 358576 1979860 995222 871240 2192149
11496,1872494 382531 1743639 511060 310992 248838 973637 1492999 1272569 220745 1762778 1885728 395701 1104541 1202424
18188,661470 552709 2143863 389381 1449121 932834 1596936 925232 888761 837759 763814 2174825 2045142 1957616 1835169 1370016 1221739 909867 710443 139332 1107957 986581 1678146 813760 241280 2179721 735641 1932598 2166077 137079 1161740 1625524 1545848 517152 2235164 197565 1908236 157235 1094311 804483 1940154 1667384 201934 573569 1794090 913351 2085225 474495 1572736 580096 1792343 1478315
24084,1265218 1001700 540977 755602 1382971 740629 264073 855848 1295125 1016070 1255955 1995821 333881 798065 1869397 485673 1373575 985112 1189579 742130 2109321 1627503 577751 1884939 1738102 881167 83119 387864 1631641 1125171 1036778 1293911 878697 1019835 885251 709938 1956573 159070 2110768 921770 1921831 948819 2088513 508776 1231769 1033339 682071
24742,1479666 1913487 1983432 1245729 368006 1781937 2044666 1027260 51173 418161 1208535 1048305 93774 1212339 554197 130342 1878416 2096774 2169048 2089832 1913043 721790 1252386 306589 1401091 16442 71659 415681 2254334
25416,2185606 558147 867114 605987 460139 2138119 169683 1687437 1610714 1400136 1360551 1227405 1622407 1610983 1966318 1474602 813039 866186 1818437 1919301 1854342 790443 232439 2001332 1076709 927390 869152 374185 1828331 181977 1447022 1416605 12812 93999 61971 1847725 1797025 1370261 1237729 1196882 2247877 2134084 1895909 1485594 1587465 892088 670347 305286 12388 329902 2160345 814588 519560 1462076 1614447 1577492 1168453 1067880 1099694 2225397 2192042 1596121 360572 1825773 742067 284666 1613422 930472 1451082 941767 812580 811814 757899 84140 424415 1503965 686511 1676941 1826301 680237 1104862
